Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
ERR675519	QC	23963282.0	3824423301	22370003.0	3696310439	1593279	128112862	2021-09-29-20:48:26
ERR675520	raw	23642526.0	3820875121	23642526.0	3820875121	0	0	2019-03-27-15:19:03
ERR675520	deduplicated	23458133.0	3789802580	23458133.0	3789802580	0	0	2019-03-27-23:34:21
ERR675520	filtered	23363320.0	3693945365	21544262.0	3548495033	1819058	145450332	2019-03-28-04:16:19
ERR675520	clean	23349831.0	3691722829	21531210.0	3546308997	1818621	145413832	2019-04-01-09:19:16
ERR675520	QC	23349831.0	3691722829	21531210.0	3546308997	1818621	145413832	2019-04-01-09:21:42
ERR675521	raw	22408145.0	3655805982	22408145.0	3655805982	0	0	2019-03-27-15:22:24
ERR675521	deduplicated	22265728.0	3631607307	22265728.0	3631607307	0	0	2019-03-28-00:15:17
ERR675521	filtered	22192727.0	3548581315	20658668.0	3425208434	1534059	123372881	2019-03-28-03:39:50
ERR675521	clean	22168899.0	3544638065	20635793.0	3421345071	1533106	123292994	2019-04-01-06:17:39
ERR675521	QC	22168899.0	3544638065	20635793.0	3421345071	1533106	123292994	2019-04-01-06:20:43
ERR675522	raw	20090357.0	3232853144	20090357.0	3232853144	0	0	2019-03-27-15:32:35
ERR675522	deduplicated	19986635.0	3215464562	19986635.0	3215464562	0	0	2019-03-28-03:17:36
ERR675522	filtered	19911166.0	3135789531	18383829.0	3012903423	1527337	122886108	2019-03-28-05:04:11
ERR675522	clean	18371189.0	3010819624	18371189.0	3010819624	0	0	2019-04-02-09:26:40
ERR675522	QC	19898038.0	3133665316	18371189.0	3010819624	1526849	122845692	2019-04-02-09:26:40
ERR675523	raw	23525406.0	3759000599	23525406.0	3759000599	0	0	2019-03-27-15:18:16
ERR675523	deduplicated	23402277.0	3738255224	23402277.0	3738255224	0	0	2019-03-27-21:51:59
ERR675523	filtered	23265713.0	3622947868	21107790.0	3452515731	2157923	170432137	2019-03-28-02:58:43
ERR675523	clean	23211122.0	3613987898	21055227.0	3443723442	2155895	170264456	2019-04-01-05:08:03
ERR675523	QC	23211122.0	3613987898	21055227.0	3443723442	2155895	170264456	2019-04-01-05:12:09
ERR675524	raw	27436903.0	4400625220	27436903.0	4400625220	0	0	2019-03-27-14:53:43
ERR675524	deduplicated	27227646.0	4365567373	27227646.0	4365567373	0	0	2019-03-27-20:18:19
ERR675524	filtered	27115366.0	4252714665	24917601.0	4076312875	2197765	176401790	2019-03-28-01:57:59
ERR675524	clean	27101320.0	4250423972	24904145.0	4074071371	2197175	176352601	2019-03-31-13:01:34
ERR675524	QC	27101320.0	4250423972	24904145.0	4074071371	2197175	176352601	2019-03-31-13:04:50
ERR675525	raw	17911495.0	2856258146	17911495.0	2856258146	0	0	2019-03-27-15:36:36
ERR675525	deduplicated	17842345.0	2844614936	17842345.0	2844614936	0	0	2019-03-28-04:23:59
ERR675525	filtered	17737582.0	2756582621	16067093.0	2624662445	1670489	131920176	2019-03-28-05:07:54
ERR675525	clean	17686527.0	2748205950	16017795.0	2616430780	1668732	131775170	2019-04-01-17:14:11
ERR675525	QC	17686527.0	2748205950	16017795.0	2616430780	1668732	131775170	2019-04-01-17:16:35
ERR675526	raw	29675764.0	4926023986	29675764.0	4926023986	0	0	2019-03-27-14:43:44
ERR675526	deduplicated	29472703.0	4890971767	29472703.0	4890971767	0	0	2019-03-27-19:34:14
ERR675526	filtered	29390894.0	4792289210	27510980.0	4638575406	1879914	153713804	2019-03-27-23:54:31
ERR675526	clean	29378486.0	4790199032	27499022.0	4636523482	1879464	153675550	2019-03-30-11:58:29
ERR675526	QC	29378486.0	4790199032	27499022.0	4636523482	1879464	153675550	2019-03-30-12:02:07
ERR675527	raw	19213063.0	3139109533	19213063.0	3139109533	0	0	2019-03-27-15:34:37
ERR675527	deduplicated	19064784.0	3113883420	19064784.0	3113883420	0	0	2019-03-28-03:42:07
ERR675527	filtered	19000272.0	3042726837	17628676.0	2932004532	1371596	110722305	2019-03-28-05:09:22
ERR675527	clean	17618116.0	2930213740	17618116.0	2930213740	0	0	2019-04-01-21:25:07
ERR675527	QC	18989326.0	3040903475	17618116.0	2930213740	1371210	110689735	2019-04-01-21:29:12
ERR675528	raw	24145585.0	3947201549	24145585.0	3947201549	0	0	2019-03-27-15:15:35
ERR675528	deduplicated	23999632.0	3922407246	23999632.0	3922407246	0	0	2019-03-27-21:36:03
ERR675528	filtered	23925359.0	3834945914	22319769.0	3705505455	1605590	129440459	2019-03-28-02:57:55
ERR675528	clean	23898660.0	3830507335	22293982.0	3701143616	1604678	129363719	2019-04-01-03:50:41
ERR675528	QC	23898660.0	3830507335	22293982.0	3701143616	1604678	129363719	2019-04-01-03:54:01
ERR675529	raw	20203541.0	3286007172	20203541.0	3286007172	0	0	2019-03-27-15:31:14
ERR675529	deduplicated	20079958.0	3265169943	20079958.0	3265169943	0	0	2019-03-28-02:56:20
ERR675529	filtered	20021164.0	3196103094	18728202.0	3092235605	1292962	103867489	2019-03-28-05:01:59
ERR675529	clean	18714146.0	3089884754	18714146.0	3089884754	0	0	2019-04-01-15:23:05
ERR675529	QC	20006579.0	3193708214	18714146.0	3089884754	1292433	103823460	2019-04-01-15:23:57
ERR675530	raw	16951949.0	2760629387	16951949.0	2760629387	0	0	2019-03-27-15:37:17
ERR675530	deduplicated	16839824.0	2741488845	16839824.0	2741488845	0	0	2019-03-28-04:42:04
ERR675530	filtered	16771575.0	2672131792	15477046.0	2568261097	1294529	103870695	2019-03-28-05:14:31
ERR675530	clean	15439124.0	2561823541	15439124.0	2561823541	0	0	2019-04-01-23:14:25
ERR675530	QC	16732267.0	2665578340	15439124.0	2561823541	1293143	103754799	2019-04-01-23:21:12
ERR675531	raw	21547292.0	3467953052	21547292.0	3467953052	0	0	2019-03-27-15:27:11
ERR675531	deduplicated	21408884.0	3444594607	21408884.0	3444594607	0	0	2019-03-28-01:05:57
ERR675531	filtered	21313907.0	3350581345	19564852.0	3211553858	1749055	139027487	2019-03-28-04:13:14
ERR675531	clean	19540848.0	3207523957	19540848.0	3207523957	0	0	2019-04-01-09:24:08
ERR675531	QC	21288873.0	3346466046	19540848.0	3207523957	1748025	138942089	2019-04-01-09:24:56
ERR675532	raw	20423321.0	3329095431	20423321.0	3329095431	0	0	2019-03-27-15:28:30
ERR675532	deduplicated	20294101.0	3307020136	20294101.0	3307020136	0	0	2019-03-28-02:08:22
ERR675532	filtered	20215381.0	3224943709	18674725.0	3101258768	1540656	123684941	2019-03-28-04:32:02
ERR675532	clean	20198601.0	3222145632	18658560.0	3098512171	1540041	123633461	2019-04-01-11:30:45
ERR675532	QC	20198601.0	3222145632	18658560.0	3098512171	1540041	123633461	2019-04-01-11:33:41
